depot,route,date,min,min_rest,max,max_rest,min_path,max_path,min_resp_path,max_resp_path,min_distance,max_distance,levenshtein_distance_2,min_number_delivery_points,max_number_delivery_points,missing_in_min,missing_in_max,sequence_similarity
0521,670,20220613,092501,106-0,103909,98-98,0521_670-20220613/0521_670-20220613-092501-106-0.json,0521_670-20220613/0521_670-20220613-103909-98-98.json,0521_670-20220613/0521_670-20220613-092501-106-0.txt,0521_670-20220613/0521_670-20220613-103909-98-98.txt,23.993,23.105,24,108,100,0.0,8.0,0.8529411764705882
0521,670,20220614,093230,120-0,110013,117-117,0521_670-20220614/0521_670-20220614-093230-120-0.json,0521_670-20220614/0521_670-20220614-110013-117-117.json,0521_670-20220614/0521_670-20220614-093230-120-0.txt,0521_670-20220614/0521_670-20220614-110013-117-117.txt,23.066,23.962,32,122,119,0.0,3.0,0.7848101265822784
0521,670,20220615,085552,103-0,101721,100-100,0521_670-20220615/0521_670-20220615-085552-103-0.json,0521_670-20220615/0521_670-20220615-101721-100-100.json,0521_670-20220615/0521_670-20220615-085552-103-0.txt,0521_670-20220615/0521_670-20220615-101721-100-100.txt,23.249,23.48,53,105,102,0.0,3.0,0.6798029556650246
0521,670,20220616,101414,93-93,101955,93-93,0521_670-20220616/0521_670-20220616-101414-93-93.json,0521_670-20220616/0521_670-20220616-101955-93-93.json,0521_670-20220616/0521_670-20220616-101414-93-93.txt,0521_670-20220616/0521_670-20220616-101955-93-93.txt,21.864,21.864,0,95,95,0.0,0.0,1.0
0521,670,20220617,091800,83-0,101916,78-78,0521_670-20220617/0521_670-20220617-091800-83-0.json,0521_670-20220617/0521_670-20220617-101916-78-78.json,0521_670-20220617/0521_670-20220617-091800-83-0.txt,0521_670-20220617/0521_670-20220617-101916-78-78.txt,21.553,20.895,13,85,80,0.0,5.0,0.8819875776397516
0521,670,20220618,080050,26-0,082137,25-25,0521_670-20220618/0521_670-20220618-080050-26-0.json,0521_670-20220618/0521_670-20220618-082137-25-25.json,0521_670-20220618/0521_670-20220618-080050-26-0.txt,0521_670-20220618/0521_670-20220618-082137-25-25.txt,24.234,18.042,13,28,27,0.0,1.0,0.7058823529411765
0521,670,20220620,084725,85-0,095008,72-72,0521_670-20220620/0521_670-20220620-084725-85-0.json,0521_670-20220620/0521_670-20220620-095008-72-72.json,0521_670-20220620/0521_670-20220620-084725-85-0.txt,0521_670-20220620/0521_670-20220620-095008-72-72.txt,21.474,20.05,46,87,74,0.0,13.0,0.5605095541401274
0521,670,20220621,093436,116-0,112312,114-114,0521_670-20220621/0521_670-20220621-093436-116-0.json,0521_670-20220621/0521_670-20220621-112312-114-114.json,0521_670-20220621/0521_670-20220621-093436-116-0.txt,0521_670-20220621/0521_670-20220621-112312-114-114.txt,23.926,23.596,81,118,116,0.0,2.0,0.4956521739130435
0521,670,20220622,093614,85-0,102635,71-71,0521_670-20220622/0521_670-20220622-093614-85-0.json,0521_670-20220622/0521_670-20220622-102635-71-71.json,0521_670-20220622/0521_670-20220622-093614-85-0.txt,0521_670-20220622/0521_670-20220622-102635-71-71.txt,20.996,20.832,54,86,73,0.0,13.0,0.5032258064516129
0521,671,20220530,061443,151-0,073945,146-146,0521_671-20220530/0521_671-20220530-061443-151-0.json,0521_671-20220530/0521_671-20220530-073945-146-146.json,0521_671-20220530/0521_671-20220530-061443-151-0.txt,0521_671-20220530/0521_671-20220530-073945-146-146.txt,28.044,29.378,88,153,148,0.0,5.0,0.6531986531986532
0521,671,20220531,062316,124-0,073439,111-111,0521_671-20220531/0521_671-20220531-062316-124-0.json,0521_671-20220531/0521_671-20220531-073439-111-111.json,0521_671-20220531/0521_671-20220531-062316-124-0.txt,0521_671-20220531/0521_671-20220531-073439-111-111.txt,24.991,25.32,91,125,113,1.0,13.0,0.4444444444444444
0521,671,20220601,061457,111-0,071843,102-102,0521_671-20220601/0521_671-20220601-061457-111-0.json,0521_671-20220601/0521_671-20220601-071843-102-102.json,0521_671-20220601/0521_671-20220601-061457-111-0.txt,0521_671-20220601/0521_671-20220601-071843-102-102.txt,24.059,26.99,83,113,104,0.0,9.0,0.5258215962441315
