depot,route,date,min,min_rest,max,max_rest,min_path,max_path,min_resp_path,max_resp_path
0521,891,20220602,050716,122-0,070910,122-122,0521_891-20220602/0521_891-20220602-050716-122-0.json,0521_891-20220602/0521_891-20220602-070910-122-122.json,0521_891-20220602/0521_891-20220602-050716-122-0.txt,0521_891-20220602/0521_891-20220602-070910-122-122.txt
0521,891,20220603,052242,127-0,065634,127-127,0521_891-20220603/0521_891-20220603-052242-127-0.json,0521_891-20220603/0521_891-20220603-065634-127-127.json,0521_891-20220603/0521_891-20220603-052242-127-0.txt,0521_891-20220603/0521_891-20220603-065634-127-127.txt
0521,891,20220607,071455,104-0,082304,103-103,0521_891-20220607/0521_891-20220607-071455-104-0.json,0521_891-20220607/0521_891-20220607-082304-103-103.json,0521_891-20220607/0521_891-20220607-071455-104-0.txt,0521_891-20220607/0521_891-20220607-082304-103-103.txt
0521,891,20220608,054501,131-0,072336,152-152,0521_891-20220608/0521_891-20220608-054501-131-0.json,0521_891-20220608/0521_891-20220608-072336-152-152.json,0521_891-20220608/0521_891-20220608-054501-131-0.txt,0521_891-20220608/0521_891-20220608-072336-152-152.txt
0521,891,20220609,053630,145-0,071254,151-151,0521_891-20220609/0521_891-20220609-053630-145-0.json,0521_891-20220609/0521_891-20220609-071254-151-151.json,0521_891-20220609/0521_891-20220609-053630-145-0.txt,0521_891-20220609/0521_891-20220609-071254-151-151.txt
0521,891,20220610,051758,128-0,075217,131-131,0521_891-20220610/0521_891-20220610-051758-128-0.json,0521_891-20220610/0521_891-20220610-075217-131-131.json,0521_891-20220610/0521_891-20220610-051758-128-0.txt,0521_891-20220610/0521_891-20220610-075217-131-131.txt
0521,891,20220613,052645,105-0,065253,114-114,0521_891-20220613/0521_891-20220613-052645-105-0.json,0521_891-20220613/0521_891-20220613-065253-114-114.json,0521_891-20220613/0521_891-20220613-052645-105-0.txt,0521_891-20220613/0521_891-20220613-065253-114-114.txt
0521,891,20220614,052151,144-0,065312,144-144,0521_891-20220614/0521_891-20220614-052151-144-0.json,0521_891-20220614/0521_891-20220614-065312-144-144.json,0521_891-20220614/0521_891-20220614-052151-144-0.txt,0521_891-20220614/0521_891-20220614-065312-144-144.txt
0521,891,20220615,053114,130-0,065839,136-136,0521_891-20220615/0521_891-20220615-053114-130-0.json,0521_891-20220615/0521_891-20220615-065839-136-136.json,0521_891-20220615/0521_891-20220615-053114-130-0.txt,0521_891-20220615/0521_891-20220615-065839-136-136.txt
0521,891,20220616,060659,144-144,073812,150-150,0521_891-20220616/0521_891-20220616-060659-144-144.json,0521_891-20220616/0521_891-20220616-073812-150-150.json,0521_891-20220616/0521_891-20220616-060659-144-144.txt,0521_891-20220616/0521_891-20220616-073812-150-150.txt
0521,891,20220617,053022,107-0,064314,109-109,0521_891-20220617/0521_891-20220617-053022-107-0.json,0521_891-20220617/0521_891-20220617-064314-109-109.json,0521_891-20220617/0521_891-20220617-053022-107-0.txt,0521_891-20220617/0521_891-20220617-064314-109-109.txt
0521,891,20220620,055019,92-0,065028,93-93,0521_891-20220620/0521_891-20220620-055019-92-0.json,0521_891-20220620/0521_891-20220620-065028-93-93.json,0521_891-20220620/0521_891-20220620-055019-92-0.txt,0521_891-20220620/0521_891-20220620-065028-93-93.txt
0521,891,20220621,053706,147-0,080244,191-191,0521_891-20220621/0521_891-20220621-053706-147-0.json,0521_891-20220621/0521_891-20220621-080244-191-191.json,0521_891-20220621/0521_891-20220621-053706-147-0.txt,0521_891-20220621/0521_891-20220621-080244-191-191.txt
